MonthYr,Population,Employed,Unemployed,LabourForce,NotInLabourForce,UnempRate,LFPRate,Party,PrimeMinister,AnnPopGrowth
1/1/1976,16852.4,9636.7,733,10369.7,6482.7,0.070686712,0.61532482,Liberal,Pierre Trudeau,
2/1/1976,16892,9659.8,730,10389.8,6502.2,0.070261218,0.615072224,Liberal,Pierre Trudeau,
3/1/1976,16930.7,9704.2,691.5,10395.7,6535,0.066517887,0.614014778,Liberal,Pierre Trudeau,
4/1/1976,16969.4,9738.2,713.1,10451.3,6518.1,0.068230746,0.615890957,Liberal,Pierre Trudeau,
5/1/1976,17008.1,9726.1,720,10446.1,6562,0.068925245,0.61418383,Liberal,Pierre Trudeau,
6/1/1976,17046.8,9748.3,721.3,10469.6,6577.2,0.068894705,0.614168055,Liberal,Pierre Trudeau,
7/1/1976,17085.5,9759.5,779.9,10539.4,6546.1,0.07399852,0.616862252,Liberal,Pierre Trudeau,
8/1/1976,17124.4,9780.5,743.6,10524.1,6600.3,0.070656873,0.614567518,Liberal,Pierre Trudeau,
9/1/1976,17154.4,9795.2,736.7,10531.9,6622.5,0.069949392,0.613947442,Liberal,Pierre Trudeau,
10/1/1976,17183.4,9782.5,782.6,10565.1,6618.3,0.074074074,0.614843395,Liberal,Pierre Trudeau,
11/1/1976,17211.4,9829,780.5,10609.5,6601.9,0.073566144,0.616422836,Liberal,Pierre Trudeau,
12/1/1976,17238.1,9862.6,794.8,10657.4,6580.7,0.074577289,0.618246791,Liberal,Pierre Trudeau,
1/1/1977,17270.6,9869.3,811.8,10681.1,6589.5,0.076003408,0.618455641,Liberal,Pierre Trudeau,0.024815457
2/1/1977,17302.4,9874.2,842,10716.2,6586.2,0.078572628,0.619347605,Liberal,Pierre Trudeau,0.024295525
3/1/1977,17329.1,9865.7,836,10701.7,6627.4,0.07811843,0.617556596,Liberal,Pierre Trudeau,0.023531218
4/1/1977,17358.7,9892.6,849,10741.6,6617.1,0.079038505,0.618802099,Liberal,Pierre Trudeau,0.022941294
5/1/1977,17394.1,9912,837.8,10749.8,6644.3,0.077936334,0.618014154,Liberal,Pierre Trudeau,0.022695069
6/1/1977,17421.5,9906.9,842,10748.9,6672.6,0.078333597,0.6169905,Liberal,Pierre Trudeau,0.021980665
7/1/1977,17449.4,9911.4,872.9,10784.3,6665.1,0.080941739,0.618032712,Liberal,Pierre Trudeau,0.021298762
8/1/1977,17485.1,9936.6,882.8,10819.4,6665.7,0.081594173,0.618778274,Liberal,Pierre Trudeau,0.021063512
9/1/1977,17513.7,9937,902,10839,6674.7,0.083218009,0.618886929,Liberal,Pierre Trudeau,0.020945064
10/1/1977,17540.6,9962.1,913.4,10875.5,6665.1,0.083986943,0.620018699,Liberal,Pierre Trudeau,0.020787504
11/1/1977,17567.5,9976.3,925.4,10901.7,6665.8,0.084885843,0.620560694,Liberal,Pierre Trudeau,0.020689775
12/1/1977,17592.8,10002.3,926.6,10928.9,6663.9,0.084784379,0.62121436,Liberal,Pierre Trudeau,0.020576514
1/1/1978,17623.5,10013,905.1,10918.1,6705.4,0.082899039,0.619519392,Liberal,Pierre Trudeau,0.020433569
2/1/1978,17653.9,10067.5,913.8,10981.3,6672.6,0.083214191,0.622032525,Liberal,Pierre Trudeau,0.020315101
3/1/1978,17679.3,10100.3,941.2,11041.5,6637.8,0.085242041,0.624543958,Liberal,Pierre Trudeau,0.020208782
4/1/1978,17706.9,10128.7,931.6,11060.3,6646.6,0.08422918,0.624632206,Liberal,Pierre Trudeau,0.020059106
5/1/1978,17741.6,10146.7,953.9,11100.6,6641,0.085932292,0.625682013,Liberal,Pierre Trudeau,0.019978039
6/1/1978,17767.5,10207.6,938.5,11146.1,6621.4,0.084199855,0.627330801,Liberal,Pierre Trudeau,0.019860517
7/1/1978,17792,10255,933.4,11188.4,6603.6,0.083425691,0.628844424,Liberal,Pierre Trudeau,0.019633913
8/1/1978,17824.4,10287.5,948,11235.5,6588.9,0.084375417,0.630343798,Liberal,Pierre Trudeau,0.019405093
9/1/1978,17850.7,10305.5,947.2,11252.7,6598,0.084175353,0.630378641,Liberal,Pierre Trudeau,0.019242079
10/1/1978,17876.8,10368.8,924.8,11293.6,6583.2,0.081887086,0.631746174,Liberal,Pierre Trudeau,0.019166961
11/1/1978,17902.4,10387.2,945.7,11332.9,6569.5,0.083447308,0.633038028,Liberal,Pierre Trudeau,0.019063612
12/1/1978,17927.3,10428.3,937.8,11366.1,6561.2,0.082508512,0.634010699,Liberal,Pierre Trudeau,0.01901346
1/1/1979,17958.4,10483.1,938.2,11421.3,6537.1,0.082144765,0.635986502,Liberal,Pierre Trudeau,0.019003036
2/1/1979,17989.1,10490,917.3,11407.3,6581.8,0.080413419,0.634122886,Liberal,Pierre Trudeau,0.018987306
3/1/1979,18014.3,10535.9,904.9,11440.8,6573.5,0.079094119,0.635095452,Liberal,Pierre Trudeau,0.018948714
4/1/1979,18047.3,10560.8,914.1,11474.9,6572.4,0.079660825,0.635823641,Liberal,Pierre Trudeau,0.019224144
5/1/1979,18073.7,10611.4,871.8,11483.2,6590.5,0.075919604,0.635354133,Liberal,Pierre Trudeau,0.018718718
6/1/1979,18101,10645.4,850.7,11496.1,6604.9,0.073999008,0.635108558,Transfer,Transfer,0.018770227
7/1/1979,18133.4,10702.1,834.9,11537,6596.4,0.072367167,0.636229279,Conservative,Joe Clark,0.019188399
8/1/1979,18161.4,10742.1,821.7,11563.8,6597.6,0.071057957,0.636724041,Conservative,Joe Clark,0.018906667
9/1/1979,18189.4,10756.5,812.5,11569,6620.4,0.070230789,0.636029776,Conservative,Joe Clark,0.018974046
10/1/1979,18226,10809,843.2,11652.2,6573.8,0.072364017,0.639317459,Conservative,Joe Clark,0.019533697
11/1/1979,18255.2,10841.3,836.8,11678.1,6577.1,0.071655492,0.639713616,Conservative,Joe Clark,0.019706855
12/1/1979,18283.8,10859.9,848.1,11708,6575.8,0.072437649,0.640348286,Conservative,Joe Clark,0.019885872
1/1/1980,18317.9,10882.6,877.5,11760.1,6557.8,0.074616712,0.642000448,Conservative,Joe Clark,0.020018487
2/1/1980,18346.4,10902.9,894,11796.9,6549.5,0.075782621,0.643008983,Conservative,Joe Clark,0.019862028
3/1/1980,18373.9,10897.8,901,11798.8,6575.1,0.076363698,0.642150006,Transfer,Transfer,0.019961919
4/1/1980,18407.7,10938.3,908.3,11846.6,6561.1,0.076671788,0.643567637,Liberal,Pierre Trudeau,0.019969746
5/1/1980,18437,10891.6,923.9,11815.5,6621.5,0.078193898,0.640858057,Liberal,Pierre Trudeau,0.020101031
6/1/1980,18474.1,10936.8,918.3,11855.1,6619,0.077460334,0.641714617,Liberal,Pierre Trudeau,0.020612121
7/1/1980,18501.1,10935,905.6,11840.6,6660.5,0.076482611,0.639994379,Liberal,Pierre Trudeau,0.020277499
8/1/1980,18529,10970.3,907.9,11878.2,6650.8,0.07643414,0.64105996,Liberal,Pierre Trudeau,0.02024073
9/1/1980,18564,11051.9,876.2,11928.1,6635.9,0.073456795,0.642539323,Liberal,Pierre Trudeau,0.020594412
10/1/1980,18591.5,11083.1,873.1,11956.2,6635.3,0.073024874,0.643100342,Liberal,Pierre Trudeau,0.020053769
11/1/1980,18617.4,11127,857.7,11984.7,6632.7,0.071566247,0.643736505,Liberal,Pierre Trudeau,0.019840922
12/1/1980,18642.6,11140,874.1,12014.1,6628.5,0.072756178,0.644443372,Liberal,Pierre Trudeau,0.019623929
1/1/1981,18671.8,11206.5,892.3,12098.8,6573,0.073751116,0.647971808,Liberal,Pierre Trudeau,0.0193199
2/1/1981,18700.6,11283.3,899.8,12183.1,6517.5,0.073856408,0.651481771,Liberal,Pierre Trudeau,0.01930624
3/1/1981,18725,11278.7,902.4,12181.1,6543.9,0.074081979,0.650526035,Liberal,Pierre Trudeau,0.019108627
4/1/1981,18749.9,11315.8,868.3,12184.1,6565.8,0.071265009,0.649822132,Liberal,Pierre Trudeau,0.018590047
5/1/1981,18775.2,11345.8,877.2,12223,6552.2,0.071766342,0.651018365,Liberal,Pierre Trudeau,0.018343548
6/1/1981,18806.1,11375.6,887.9,12263.5,6542.6,0.072401843,0.652102243,Liberal,Pierre Trudeau,0.017971105
7/1/1981,18829,11336.4,879.4,12215.8,6613.2,0.071988736,0.648775825,Liberal,Pierre Trudeau,0.017723271
8/1/1981,18852.5,11353.8,861.2,12215,6637.5,0.070503479,0.647924678,Liberal,Pierre Trudeau,0.017459118
9/1/1981,18880.8,11328.7,1003.9,12332.6,6548.2,0.081402137,0.653182069,Liberal,Pierre Trudeau,0.017065288
10/1/1981,18904.4,11300.1,1020.4,12320.5,6583.9,0.082821314,0.651726582,Liberal,Pierre Trudeau,0.016830272
11/1/1981,18927.1,11291.5,1019.5,12311,6616.1,0.082812119,0.650443016,Liberal,Pierre Trudeau,0.016634976
12/1/1981,18949.7,11236,1071.7,12307.7,6642,0.087075571,0.649493132,Liberal,Pierre Trudeau,0.016473024
1/1/1982,18976.3,11205.6,1059.7,12265.3,6711,0.086398213,0.64634834,Liberal,Pierre Trudeau,0.016308015
2/1/1982,19001.7,11166.9,1092.8,12259.7,6742,0.089137581,0.645189641,Liberal,Pierre Trudeau,0.016101088
3/1/1982,19023.7,11140.5,1139.7,12280.2,6743.5,0.092807935,0.645521113,Liberal,Pierre Trudeau,0.015951936
4/1/1982,19045.6,11076.3,1204.8,12281.1,6764.5,0.098101962,0.644826102,Liberal,Pierre Trudeau,0.015770751
5/1/1982,19068.3,11021.9,1271.4,12293.3,6775,0.103422189,0.644698269,Liberal,Pierre Trudeau,0.015611019
6/1/1982,19096.2,10940.6,1364.3,12304.9,6791.3,0.11087453,0.6443638,Liberal,Pierre Trudeau,0.015425846
7/1/1982,19115.7,10893.6,1465.2,12358.8,6756.9,0.1185552,0.646526154,Liberal,Pierre Trudeau,0.015226512
8/1/1982,19142,10836.3,1478.1,12314.4,6827.6,0.120030209,0.643318358,Liberal,Pierre Trudeau,0.015356054
9/1/1982,19162.5,10806.7,1527,12333.7,6828.8,0.12380713,0.643637312,Liberal,Pierre Trudeau,0.014919919
10/1/1982,19183.2,10787.2,1602.1,12389.3,6793.9,0.129313198,0.645841153,Liberal,Pierre Trudeau,0.014747889
11/1/1982,19203.3,10764.1,1600.4,12364.5,6838.8,0.129435076,0.643873709,Liberal,Pierre Trudeau,0.014592832
12/1/1982,19222.6,10774.1,1624.4,12398.5,6824.1,0.131015849,0.644995994,Liberal,Pierre Trudeau,0.014401283
1/1/1983,19244.2,10801.1,1572.9,12374,6870.2,0.127113302,0.64299893,Liberal,Pierre Trudeau,0.01411761
2/1/1983,19266.5,10818.2,1573.6,12391.8,6874.7,0.126987201,0.643178574,Liberal,Pierre Trudeau,0.013935595
3/1/1983,19285.1,10874.9,1554.7,12429.6,6855.5,0.125080453,0.644518307,Liberal,Pierre Trudeau,0.013740755
4/1/1983,19304.2,10932.6,1553.7,12486.3,6817.9,0.124432378,0.646817791,Liberal,Pierre Trudeau,0.013577939
5/1/1983,19328.1,10952.5,1556.5,12509,6819.1,0.12443041,0.64719243,Liberal,Pierre Trudeau,0.013624707
6/1/1983,19346.5,11021.4,1557.3,12578.7,6767.8,0.123804527,0.650179619,Liberal,Pierre Trudeau,0.01310732
7/1/1983,19363.3,11073.4,1492.9,12566.3,6797,0.118801875,0.648975123,Liberal,Pierre Trudeau,0.012952704
8/1/1983,19386.4,11126.6,1472.8,12599.4,6787,0.116894455,0.649909215,Liberal,Pierre Trudeau,0.012767736
9/1/1983,19405.3,11174.2,1432,12606.2,6799.1,0.113594898,0.649626648,Liberal,Pierre Trudeau,0.012670581
10/1/1983,19424.2,11163.3,1419.2,12582.5,6841.7,0.112791576,0.647774426,Liberal,Pierre Trudeau,0.012563076
11/1/1983,19443.7,11162,1415.9,12577.9,6865.8,0.112570461,0.646888195,Liberal,Pierre Trudeau,0.012518682
12/1/1983,19462.2,11187.4,1429.1,12616.5,6845.7,0.113272302,0.648256621,Liberal,Pierre Trudeau,0.012464495
1/1/1984,19483.7,11168.6,1423.3,12591.9,6891.8,0.113032982,0.646278684,Liberal,Pierre Trudeau,0.012445308
2/1/1984,19506.2,11203.9,1425.4,12629.3,6876.9,0.112864529,0.647450554,Liberal,Pierre Trudeau,0.012441284
3/1/1984,19524.2,11205.9,1424.7,12630.6,6893.6,0.112797492,0.646920232,Liberal,Pierre Trudeau,0.012398173
4/1/1984,19546.8,11198.5,1456,12654.5,6892.3,0.115057885,0.64739497,Liberal,Pierre Trudeau,0.012567213
5/1/1984,19566.7,11245.5,1494,12739.5,6827.2,0.117273048,0.651080663,Liberal,Pierre Trudeau,0.012344721
6/1/1984,19586.5,11314.5,1442.9,12757.4,6829.1,0.113102983,0.65133638,Liberal,Transfer,0.012405345
7/1/1984,19609.7,11356.6,1427.1,12783.7,6826,0.111634347,0.651906964,Liberal,John Turner,0.012725104
8/1/1984,19628.8,11349.3,1441.1,12790.4,6838.4,0.11267044,0.651613955,Liberal,John Turner,0.012503611
9/1/1984,19648.2,11373.8,1527.9,12901.7,6746.5,0.118426254,0.656635213,Transfer,Transfer,0.012517199
10/1/1984,19672.4,11387.7,1455.6,12843.3,6829.1,0.113335358,0.652858828,Conservative,Brian Mulroney,0.012777875
11/1/1984,19691.5,11391.1,1462.3,12853.4,6838.1,0.113767563,0.652738491,Conservative,Brian Mulroney,0.012744488
12/1/1984,19709.6,11430.3,1425.9,12856.2,6853.4,0.110911467,0.652281122,Conservative,Brian Mulroney,0.012711821
1/1/1985,19730.9,11481.7,1364.7,12846.4,6884.5,0.106232096,0.651080285,Conservative,Brian Mulroney,0.012687529
2/1/1985,19748.6,11506.3,1386,12892.3,6856.3,0.107506031,0.652820959,Conservative,Brian Mulroney,0.012426818
3/1/1985,19766.5,11531.4,1421.4,12952.8,6813.7,0.109736891,0.655290517,Conservative,Brian Mulroney,0.01241024
4/1/1985,19789.4,11571.5,1404.4,12975.9,6813.5,0.108231414,0.655699516,Conservative,Brian Mulroney,0.012411239
5/1/1985,19809,11613.7,1371.8,12985.5,6823.5,0.105640907,0.655535363,Conservative,Brian Mulroney,0.012383284
6/1/1985,19828.7,11627,1391.3,13018.3,6810.4,0.106872633,0.65653825,Conservative,Brian Mulroney,0.01236566
7/1/1985,19852.4,11681.1,1358.4,13039.5,6812.9,0.104175774,0.656822349,Conservative,Brian Mulroney,0.012376528
8/1/1985,19872.8,11712.1,1348.1,13060.2,6812.6,0.103222003,0.657189727,Conservative,Brian Mulroney,0.012430714
9/1/1985,19898.7,11723.3,1331.7,13055,6843.7,0.102006894,0.65607301,Conservative,Brian Mulroney,0.012749259
10/1/1985,19919.1,11754,1355.4,13109.4,6809.7,0.10339146,0.658132145,Conservative,Brian Mulroney,0.012540412
11/1/1985,19939.6,11819,1350.2,13169.2,6770.4,0.102527109,0.660454573,Conservative,Brian Mulroney,0.012599345
12/1/1985,19958.2,11860.5,1326.1,13186.6,6771.6,0.100564209,0.660710886,Conservative,Brian Mulroney,0.012613143
1/1/1986,19981.2,11903.5,1300.2,13203.7,6777.5,0.098472398,0.660806158,Conservative,Brian Mulroney,0.012685686
2/1/1986,19999,11917.9,1303.8,13221.7,6777.3,0.098610617,0.661118056,Conservative,Brian Mulroney,0.01267938
3/1/1986,20017.2,11926.3,1298.6,13224.9,6792.3,0.098193559,0.660676818,Conservative,Brian Mulroney,0.012683075
4/1/1986,20041.3,12008.1,1284.2,13292.3,6749,0.096612324,0.663245398,Conservative,Brian Mulroney,0.012729037
5/1/1986,20062.1,11977.2,1259.5,13236.7,6825.4,0.095152115,0.659786363,Conservative,Brian Mulroney,0.012777021
6/1/1986,20087.6,12016.9,1272.9,13289.8,6797.8,0.095780222,0.661592226,Conservative,Brian Mulroney,0.013056832
7/1/1986,20105.9,12017.1,1271.3,13288.4,6817.5,0.095669908,0.660920426,Conservative,Brian Mulroney,0.012769237
8/1/1986,20124.5,12024.7,1277.5,13302.2,6822.3,0.096036746,0.660995304,Conservative,Brian Mulroney,0.012665553
9/1/1986,20147.1,12035.2,1265.3,13300.5,6846.6,0.095131762,0.660169454,Conservative,Brian Mulroney,0.012483228
10/1/1986,20165.8,12059.6,1253.5,13313.1,6852.7,0.094155381,0.66018209,Conservative,Brian Mulroney,0.012385098
11/1/1986,20183.9,12082,1250.8,13332.8,6851.1,0.093813753,0.660566095,Conservative,Brian Mulroney,0.012252001
12/1/1986,20202.6,12079.7,1266.9,13346.6,6856,0.094923052,0.66063774,Conservative,Brian Mulroney,0.012245593
1/1/1987,20225.3,12102,1274.3,13376.3,6849,0.095265507,0.661364726,Conservative,Brian Mulroney,0.012216483
2/1/1987,20248.6,12131.4,1275.3,13406.7,6841.9,0.09512408,0.662105034,Conservative,Brian Mulroney,0.012480624
3/1/1987,20268.9,12182,1259.3,13441.3,6827.6,0.093688855,0.663148962,Conservative,Brian Mulroney,0.012574186
4/1/1987,20289.9,12229.5,1237.1,13466.6,6823.3,0.091864316,0.66370953,Conservative,Brian Mulroney,0.012404385
5/1/1987,20311.5,12285.7,1201.1,13486.8,6824.7,0.089057449,0.663998228,Conservative,Brian Mulroney,0.012431401
6/1/1987,20339.2,12319.4,1203.8,13523.2,6816,0.089017392,0.664883575,Conservative,Brian Mulroney,0.01252514
7/1/1987,20360.6,12345.5,1179.2,13524.7,6835.9,0.087188625,0.664258421,Conservative,Brian Mulroney,0.012667923
8/1/1987,20381.6,12376.2,1167,13543.2,6838.4,0.086168705,0.664481689,Conservative,Brian Mulroney,0.012775473
9/1/1987,20408.3,12421.9,1146.1,13568,6840.3,0.084470814,0.664827546,Conservative,Brian Mulroney,0.012964645
10/1/1987,20428.5,12487.4,1129.7,13617.1,6811.4,0.082961864,0.666573659,Conservative,Brian Mulroney,0.013027006
11/1/1987,20448.3,12519.4,1113.2,13632.6,6815.7,0.081657204,0.666686228,Conservative,Brian Mulroney,0.01309955
12/1/1987,20467.1,12583.3,1097.1,13680.4,6786.7,0.080195024,0.668409301,Conservative,Brian Mulroney,0.013092374
1/1/1988,20489.4,12601.9,1106.5,13708.4,6781,0.080716933,0.669048386,Conservative,Brian Mulroney,0.013057903
2/1/1988,20510.8,12642.6,1068.4,13711,6799.8,0.077922836,0.668477095,Conservative,Brian Mulroney,0.012949043
3/1/1988,20530,12662.6,1067.8,13730.4,6799.6,0.077769038,0.668796883,Conservative,Brian Mulroney,0.012881804
4/1/1988,20550.6,12676,1056.2,13732.2,6818.4,0.076914114,0.668214067,Conservative,Brian Mulroney,0.012848757
5/1/1988,20577.9,12679.7,1067.4,13747.1,6830.8,0.077645467,0.668051648,Conservative,Brian Mulroney,0.013115723
6/1/1988,20600,12698.1,1043.9,13742,6858,0.075964197,0.667087379,Conservative,Brian Mulroney,0.01282253
7/1/1988,20622,12711.8,1069.6,13781.4,6840.6,0.077611854,0.668286296,Conservative,Brian Mulroney,0.012838521
8/1/1988,20650.4,12720,1077.6,13797.6,6852.8,0.078100539,0.668151707,Conservative,Brian Mulroney,0.013188366
9/1/1988,20672.5,12732.8,1084,13816.8,6855.7,0.078455214,0.668366187,Conservative,Brian Mulroney,0.012945713
10/1/1988,20693.6,12765,1077.9,13842.9,6850.7,0.077866632,0.668945954,Conservative,Brian Mulroney,0.012976968
11/1/1988,20714.3,12795.8,1076.8,13872.6,6841.7,0.077620633,0.669711262,Conservative,Brian Mulroney,0.013008416
12/1/1988,20734.5,12849.4,1035.1,13884.5,6850,0.074550758,0.669632738,Conservative,Brian Mulroney,0.01306487
1/1/1989,20763.1,12922,1049.6,13971.6,6791.5,0.075123823,0.672905298,Conservative,Brian Mulroney,0.013358127
2/1/1989,20783.3,12936.8,1060.8,13997.6,6785.7,0.07578442,0.673502283,Conservative,Brian Mulroney,0.013285684
3/1/1989,20805.4,12982.4,1059.1,14041.5,6763.9,0.075426415,0.674896902,Conservative,Brian Mulroney,0.013414515
4/1/1989,20828.2,12959.9,1089.8,14049.7,6778.5,0.077567493,0.67455181,Conservative,Brian Mulroney,0.013508121
5/1/1989,20858.6,12962.2,1077.4,14039.6,6819,0.076740078,0.673084483,Conservative,Brian Mulroney,0.013640848
6/1/1989,20883,12979.4,1051.3,14030.7,6852.3,0.07492855,0.671871857,Conservative,Brian Mulroney,0.013737864
7/1/1989,20907.8,12979.8,1046.1,14025.9,6881.9,0.074583449,0.67084533,Conservative,Brian Mulroney,0.013858986
8/1/1989,20938.9,13029.1,1029.7,14058.8,6880.1,0.073242382,0.67142018,Conservative,Brian Mulroney,0.013970674
9/1/1989,20963.6,13029.5,1032.6,14062.1,6901.5,0.073431422,0.670786506,Conservative,Brian Mulroney,0.014081509
10/1/1989,20993.6,13034.5,1014,14048.5,6945.1,0.072178524,0.669180131,Conservative,Brian Mulroney,0.014497236
11/1/1989,21017,13059.7,1055.2,14114.9,6902.1,0.07475788,0.671594424,Conservative,Brian Mulroney,0.014613093
12/1/1989,21039.1,13066.8,1083.2,14150,6889.1,0.076551237,0.672557286,Conservative,Brian Mulroney,0.014690492
1/1/1990,21064.5,13101.4,1119.1,14220.5,6844,0.078696248,0.675093166,Conservative,Brian Mulroney,0.014516137
2/1/1990,21085.8,13134.9,1093.6,14228.5,6857.3,0.076859824,0.674790617,Conservative,Brian Mulroney,0.014554955
3/1/1990,21109.5,13126.1,1033.8,14159.9,6949.6,0.07300899,0.670783297,Conservative,Brian Mulroney,0.014616398
4/1/1990,21142.7,13141.3,1076.8,14218.1,6924.6,0.075734451,0.672482701,Conservative,Brian Mulroney,0.015099721
5/1/1990,21170,13101.9,1105.2,14207.1,6962.9,0.07779209,0.67109589,Conservative,Brian Mulroney,0.014929094
6/1/1990,21197.5,13134.4,1080.8,14215.2,6982.3,0.07603129,0.670607383,Conservative,Brian Mulroney,0.015060097
7/1/1990,21233.1,13113.6,1128.5,14242.1,6991,0.07923691,0.670749914,Conservative,Brian Mulroney,0.015558787
8/1/1990,21261,13100.3,1161.8,14262.1,6998.9,0.081460654,0.670810404,Conservative,Brian Mulroney,0.015382852
9/1/1990,21286.8,13089.5,1218.1,14307.6,6979.2,0.085136571,0.672134844,Conservative,Brian Mulroney,0.015417199
10/1/1990,21317.2,13039.3,1260.1,14299.4,7017.8,0.088122579,0.670791661,Conservative,Brian Mulroney,0.015414221
11/1/1990,21342.5,12985.3,1306.3,14291.6,7050.9,0.091403342,0.669631018,Conservative,Brian Mulroney,0.015487463
12/1/1990,21366.2,12934.7,1355,14289.7,7076.5,0.094823544,0.668799319,Conservative,Brian Mulroney,0.015547243
